median_income,house_age,total_rooms,total_bedrooms,population,ocean_proximity,median_house_value
3.05,2,4767,1108.0,2173,<1H OCEAN,260000.0
7.08,39,2302,566.0,990,NEAR BAY,398000.0
4.65,51,1110,229.0,463,NEAR BAY,308900.0
4.46,46,1771,426.0,823,<1H OCEAN,271100.0
9.41,19,3648,757.0,1503,<1H OCEAN,465900.0
2.59,7,2359,454.0,1634,NEAR BAY,207600.0
3.79,12,4525,815.0,2259,NEAR BAY,283300.0
2.73,3,2744,557.0,1502,<1H OCEAN,202500.0
5.31,47,1529,315.0,1114,<1H OCEAN,325300.0
4.5,5,3813,938.0,1700,NEAR BAY,279900.0
3.22,8,660,128.0,484,INLAND,133800.0
3.47,14,1006,207.0,659,INLAND,173700.0
6.69,36,3899,708.0,2093,NEAR OCEAN,398800.0
7.67,7,2473,577.0,1105,INLAND,313500.0
2.83,7,258,62.0,112,<1H OCEAN,179200.0
14.53,50,2675,526.0,1429,INLAND,500000.0
1.63,46,1355,284.0,618,NEAR BAY,194600.0
2.03,32,697,131.0,353,INLAND,77500.0
3.38,8,4525,959.0,1905,NEAR BAY,267800.0
2.5,12,4628,876.0,2952,<1H OCEAN,218600.0
2.31,10,4176,904.0,1913,<1H OCEAN,200400.0
7.56,14,1807,418.0,1269,NEAR BAY,367800.0
5.43,9,920,201.0,448,INLAND,186300.0
4.23,38,1474,290.0,1060,<1H OCEAN,270700.0
2.9,30,4067,832.0,1935,INLAND,157100.0
2.09,5,890,199.0,612,INLAND,116700.0
2.03,1,4223,934.0,2251,INLAND,123400.0
7.54,1,4352,825.0,2755,NEAR OCEAN,392100.0
7.37,20,3637,869.0,1511,INLAND,295400.0
3.43,49,2555,544.0,1528,<1H OCEAN,258700.0
1.54,11,949,181.0,436,NEAR BAY,184200.0
5.69,26,3251,613.0,1932,NEAR BAY,362900.0
3.44,44,4973,1231.0,2270,INLAND,201700.0
6.85,3,3764,751.0,2163,INLAND,292800.0
2.0,6,4855,1182.0,2156,<1H OCEAN,227100.0
4.21,43,1904,397.0,929,<1H OCEAN,267500.0
1.88,45,3645,754.0,2325,INLAND,145300.0
2.55,11,4644,1063.0,3671,<1H OCEAN,271700.0
2.51,8,2577,465.0,1493,NEAR BAY,224100.0
3.39,29,3431,698.0,2315,NEAR BAY,273500.0
7.9,10,2415,485.0,1487,NEAR OCEAN,420800.0
4.34,34,1085,261.0,650,<1H OCEAN,288300.0
6.22,24,1064,230.0,453,<1H OCEAN,331500.0
4.19,46,3694,759.0,1690,INLAND,203900.0
3.12,48,3254,646.0,2450,INLAND,178700.0
0.93,17,985,218.0,555,NEAR BAY,131400.0
2.08,32,656,125.0,423,NEAR OCEAN,186100.0
4.0,11,544,107.0,332,<1H OCEAN,232900.0
4.42,34,753,151.0,415,NEAR BAY,268400.0
6.86,24,987,219.0,547,<1H OCEAN,334700.0
1.27,5,2019,416.0,1256,INLAND,71700.0
11.75,29,904,194.0,412,<1H OCEAN,500000.0
0.92,48,1152,259.0,639,NEAR BAY,172600.0
3.85,48,1014,250.0,586,NEAR BAY,270500.0
2.77,34,1748,408.0,1388,NEAR BAY,220800.0
2.1,16,343,71.0,185,INLAND,101800.0
9.09,25,2977,691.0,1958,<1H OCEAN,484600.0
2.84,37,3966,977.0,1804,<1H OCEAN,241700.0
1.2,8,4025,865.0,1715,<1H OCEAN,205300.0
1.7,29,1416,295.0,1060,NEAR OCEAN,161500.0
7.34,46,2007,372.0,1389,INLAND,289300.0
1.76,25,4670,1132.0,2461,NEAR OCEAN,213600.0
1.47,42,4972,980.0,2992,NEAR OCEAN,216600.0
4.47,23,2939,542.0,1335,INLAND,195400.0
3.38,34,1489,324.0,1016,NEAR BAY,240300.0
5.2,3,755,180.0,323,<1H OCEAN,292100.0
3.12,30,1062,221.0,746,INLAND,135200.0
6.01,50,2685,630.0,1661,<1H OCEAN,372400.0
1.59,34,2555,609.0,1306,NEAR BAY,210100.0
1.38,32,1165,246.0,867,INLAND,109600.0
4.71,29,2595,574.0,2061,INLAND,206700.0
3.38,9,675,146.0,338,NEAR BAY,212900.0
3.02,2,1538,377.0,1111,INLAND,134500.0
5.69,39,724,167.0,506,NEAR BAY,316800.0
12.69,7,2771,678.0,1936,INLAND,485500.0
1.41,46,761,148.0,595,<1H OCEAN,186300.0
8.06,5,3902,787.0,2320,INLAND,347800.0
5.83,8,4864,899.0,3257,<1H OCEAN,338600.0
2.94,32,1405,302.0,1025,NEAR BAY,210800.0
9.47,18,4233,1020.0,2505,<1H OCEAN,459200.0
1.71,38,4047,821.0,2398,NEAR OCEAN,201100.0
5.1,46,4401,831.0,2321,INLAND,273200.0
3.56,18,2438,450.0,1736,NEAR OCEAN,255100.0
2.94,49,1360,287.0,917,INLAND,169900.0
1.88,41,4995,956.0,2899,INLAND,125700.0
15.53,45,4025,822.0,2285,NEAR OCEAN,500000.0
2.92,16,271,64.0,116,NEAR BAY,211800.0
0.66,21,954,197.0,384,NEAR BAY,156100.0
6.38,10,4052,902.0,2478,<1H OCEAN,357700.0
4.84,42,1104,237.0,625,<1H OCEAN,289200.0
3.35,4,251,57.0,180,<1H OCEAN,239400.0
3.16,44,2821,538.0,1740,NEAR BAY,253200.0
3.8,8,3390,828.0,2626,NEAR OCEAN,268600.0
6.41,47,4148,933.0,1984,<1H OCEAN,391500.0
4.88,19,1487,295.0,1183,NEAR OCEAN,265200.0
5.35,47,4980,939.0,2585,INLAND,276200.0
5.35,40,1972,375.0,1295,<1H OCEAN,303300.0
6.58,40,4102,963.0,2464,NEAR OCEAN,385000.0
7.68,51,4120,911.0,2240,INLAND,346100.0
2.58,9,1149,237.0,523,NEAR OCEAN,193700.0
4.46,30,3338,678.0,1515,INLAND,228900.0
7.47,17,2616,627.0,1790,INLAND,312600.0
2.57,40,2479,598.0,1366,NEAR OCEAN,213800.0
8.43,44,1625,358.0,1274,NEAR OCEAN,411900.0
2.55,15,1784,386.0,945,INLAND,142200.0
4.99,4,1246,295.0,988,NEAR BAY,283500.0
3.39,6,2365,549.0,1140,<1H OCEAN,218900.0
3.05,16,4223,878.0,1862,NEAR OCEAN,245700.0
5.2,26,1376,255.0,722,<1H OCEAN,301400.0
7.71,37,2360,551.0,1779,<1H OCEAN,388400.0
3.34,23,1231,236.0,749,<1H OCEAN,226200.0
8.1,13,3488,631.0,1584,NEAR BAY,433600.0
2.49,47,4726,1129.0,2273,NEAR OCEAN,290300.0
7.78,17,1515,334.0,794,INLAND,315500.0
4.26,27,1092,264.0,694,<1H OCEAN,248200.0
4.81,22,306,65.0,163,INLAND,194100.0
1.84,37,3280,803.0,2292,INLAND,132500.0
2.97,19,944,193.0,610,<1H OCEAN,229700.0
3.93,39,821,189.0,615,ISLAND,272400.0
7.23,35,4440,892.0,2665,<1H OCEAN,430400.0
3.51,13,1020,183.0,543,<1H OCEAN,234500.0
2.36,14,611,126.0,487,NEAR BAY,191000.0
4.58,48,313,72.0,169,<1H OCEAN,254100.0
11.0,31,2646,504.0,1512,INLAND,426800.0
4.88,45,3546,763.0,2566,NEAR BAY,303300.0
3.49,2,4419,861.0,1924,NEAR BAY,249700.0
4.6,46,285,52.0,158,<1H OCEAN,264600.0
2.26,39,4342,969.0,1885,ISLAND,220800.0
8.73,37,1772,437.0,807,<1H OCEAN,453100.0
8.64,14,2205,444.0,886,INLAND,317600.0
2.2,9,4279,944.0,1727,INLAND,136300.0
8.52,10,1003,247.0,553,INLAND,341200.0
4.63,7,3534,797.0,2557,NEAR BAY,291400.0
5.9,28,3549,806.0,2252,INLAND,290900.0
3.98,46,1269,244.0,829,<1H OCEAN,261000.0
4.16,25,2869,615.0,1743,NEAR OCEAN,308100.0
2.7,46,4341,892.0,3159,INLAND,152400.0
2.22,28,2971,632.0,2234,INLAND,156300.0
2.14,2,4835,1141.0,3577,<1H OCEAN,205800.0
7.35,17,4382,930.0,3176,<1H OCEAN,426200.0
4.45,4,1608,296.0,760,NEAR OCEAN,261800.0
2.29,13,3940,958.0,2511,INLAND,157600.0
4.24,18,464,101.0,293,INLAND,196100.0
1.25,3,4048,990.0,2474,NEAR OCEAN,172100.0
2.26,51,3293,724.0,1950,NEAR BAY,247900.0
7.76,37,4998,924.0,2177,<1H OCEAN,434700.0
2.89,33,1673,365.0,737,INLAND,127400.0
7.23,41,4481,987.0,3409,INLAND,341000.0
3.79,24,525,102.0,342,<1H OCEAN,229700.0
5.92,8,1406,299.0,709,INLAND,230500.0
1.9,35,4692,995.0,2400,<1H OCEAN,212500.0
5.42,2,1704,381.0,1097,INLAND,228400.0
0.76,33,3734,739.0,2101,ISLAND,160700.0
3.05,12,1640,361.0,945,INLAND,125800.0
8.0,22,1155,227.0,490,NEAR BAY,381900.0
4.08,13,754,159.0,343,INLAND,161200.0
2.19,10,3454,651.0,1925,<1H OCEAN,218600.0
7.62,17,4339,792.0,2949,<1H OCEAN,427200.0
11.74,43,4777,967.0,2002,INLAND,500000.0
3.43,5,2236,445.0,1193,<1H OCEAN,239400.0
1.31,9,1486,309.0,1007,<1H OCEAN,159300.0
4.11,13,1397,345.0,1001,<1H OCEAN,256600.0
6.13,23,4861,1052.0,2314,<1H OCEAN,376300.0
3.55,30,2467,539.0,1708,<1H OCEAN,275700.0
0.85,43,3829,941.0,2994,<1H OCEAN,182300.0
5.78,4,3665,896.0,2795,NEAR BAY,343900.0
2.5,21,971,234.0,694,NEAR BAY,184100.0
3.03,43,2656,496.0,1819,NEAR OCEAN,261900.0
1.36,9,670,150.0,331,NEAR BAY,157000.0
0.6,7,1570,371.0,1026,INLAND,40000.0
1.85,16,3332,794.0,2190,NEAR OCEAN,217100.0
2.86,23,871,192.0,490,NEAR BAY,196700.0
2.82,23,1374,249.0,820,<1H OCEAN,184800.0
8.95,31,310,76.0,210,<1H OCEAN,439600.0
2.02,5,3759,800.0,2935,NEAR OCEAN,211600.0
6.88,6,1226,254.0,635,INLAND,252900.0
4.36,51,3754,779.0,1871,INLAND,236000.0
9.68,1,3433,719.0,2199,NEAR OCEAN,486200.0
3.82,48,4639,913.0,2098,INLAND,223000.0
0.92,28,1672,339.0,1058,INLAND,114500.0
3.62,18,2579,642.0,1123,<1H OCEAN,243700.0
0.63,24,3171,652.0,1890,INLAND,47200.0
1.83,13,2581,559.0,1672,NEAR OCEAN,170200.0
3.66,33,3490,835.0,1493,<1H OCEAN,240100.0
3.71,10,4953,1074.0,2391,NEAR BAY,311500.0
6.75,7,2033,412.0,1085,NEAR BAY,355000.0
5.16,37,653,141.0,357,NEAR BAY,329700.0
9.15,32,940,176.0,630,INLAND,355300.0
6.75,45,2580,487.0,1577,<1H OCEAN,366000.0
6.28,22,2557,584.0,1413,NEAR BAY,325400.0
11.2,16,1643,401.0,953,INLAND,425500.0
6.56,24,3880,895.0,1572,NEAR OCEAN,388100.0
8.3,14,1948,360.0,1379,<1H OCEAN,408600.0
1.25,11,2601,541.0,1083,INLAND,66300.0
3.29,19,3371,607.0,2466,NEAR OCEAN,263200.0
5.03,23,4440,958.0,2736,INLAND,259500.0
4.19,34,2206,426.0,1348,NEAR OCEAN,272800.0
2.45,40,1986,478.0,1354,<1H OCEAN,210800.0
6.32,13,1609,301.0,1196,<1H OCEAN,313100.0
7.19,39,1962,353.0,1524,<1H OCEAN,395200.0
3.81,44,1109,234.0,684,INLAND,174500.0
3.4,28,960,183.0,441,<1H OCEAN,197400.0
2.9,40,3440,796.0,2584,<1H OCEAN,228600.0
6.47,16,2889,706.0,1202,INLAND,286800.0
3.36,50,730,133.0,527,INLAND,159800.0
4.11,51,1559,323.0,1047,NEAR OCEAN,262900.0
7.81,28,4018,1003.0,3061,INLAND,343300.0
4.75,4,2227,515.0,1690,NEAR OCEAN,272900.0
4.11,28,2760,680.0,1162,<1H OCEAN,270800.0
2.75,12,2377,455.0,1530,<1H OCEAN,217000.0
3.97,16,1737,339.0,781,NEAR BAY,284600.0
2.5,49,1473,281.0,635,INLAND,166900.0
4.58,36,2981,599.0,1726,INLAND,193500.0
2.98,20,1146,264.0,503,<1H OCEAN,219800.0
3.23,26,1498,286.0,1035,<1H OCEAN,214200.0
3.99,26,2711,587.0,2135,<1H OCEAN,258800.0
9.8,22,2388,474.0,1499,<1H OCEAN,445000.0
4.98,9,1081,257.0,534,<1H OCEAN,271600.0
1.84,5,2047,369.0,1509,INLAND,84500.0
3.36,17,2175,425.0,1612,<1H OCEAN,258200.0
2.79,49,4468,,3096,NEAR BAY,249200.0
2.71,34,4768,890.0,3080,INLAND,145300.0
2.78,2,3164,672.0,2363,INLAND,144900.0
3.42,7,3263,686.0,1518,INLAND,168200.0
2.54,36,3328,797.0,2571,INLAND,151200.0
2.55,13,697,155.0,542,NEAR BAY,206900.0
2.8,20,2416,543.0,1809,INLAND,165600.0
2.71,30,1188,292.0,594,ISLAND,212600.0
2.29,30,2808,698.0,2087,INLAND,142200.0
5.63,11,2675,603.0,1602,<1H OCEAN,320500.0
3.14,31,4714,1020.0,3007,INLAND,195100.0
3.51,3,1570,349.0,1155,INLAND,133000.0
3.35,2,3788,783.0,1560,NEAR BAY,260400.0
2.65,48,2702,673.0,1473,INLAND,163000.0
2.23,3,378,86.0,274,<1H OCEAN,163900.0
5.95,15,2129,426.0,1544,INLAND,285200.0
2.32,17,2748,505.0,2032,NEAR BAY,191800.0
2.4,48,311,56.0,145,INLAND,131100.0
6.97,7,3419,664.0,2332,<1H OCEAN,362300.0
2.83,48,914,179.0,419,<1H OCEAN,235900.0
3.97,5,1601,334.0,1143,INLAND,202500.0
3.25,34,3124,609.0,1555,INLAND,188600.0
3.88,33,1581,354.0,1098,INLAND,181400.0
8.8,45,3327,648.0,1936,NEAR BAY,472700.0
2.5,16,3211,620.0,2551,INLAND,133800.0
5.64,37,1408,299.0,889,<1H OCEAN,332300.0
5.94,3,3325,805.0,2171,<1H OCEAN,339000.0
5.69,47,236,50.0,129,<1H OCEAN,301800.0
8.58,48,2028,423.0,1407,<1H OCEAN,465200.0
0.87,43,3260,718.0,1949,INLAND,118200.0
1.54,51,3541,701.0,1441,INLAND,117000.0
2.2,50,4141,847.0,2664,INLAND,173800.0
2.93,21,1009,196.0,738,<1H OCEAN,200500.0
4.62,41,3272,,1618,NEAR BAY,316900.0
2.28,8,4318,988.0,2109,NEAR OCEAN,222700.0
2.27,22,1726,392.0,1110,INLAND,147900.0
4.21,51,3719,735.0,2704,INLAND,230000.0
5.28,5,695,163.0,347,<1H OCEAN,266100.0
3.93,17,624,123.0,482,NEAR BAY,262600.0
5.43,37,2947,561.0,2272,INLAND,246400.0
1.32,14,2265,463.0,1087,INLAND,83500.0
2.54,39,2182,,1103,NEAR BAY,225700.0
2.13,41,1668,316.0,1134,<1H OCEAN,198100.0
2.83,28,4000,901.0,3122,<1H OCEAN,275000.0
3.8,31,1433,344.0,980,NEAR BAY,269900.0
1.11,17,1997,400.0,1154,INLAND,65200.0
2.81,35,764,161.0,357,NEAR BAY,207600.0
2.52,40,3219,630.0,1881,<1H OCEAN,215700.0
1.41,22,1504,308.0,966,INLAND,104900.0
5.5,45,332,60.0,176,INLAND,232300.0
3.91,48,648,159.0,391,INLAND,167700.0
2.84,29,2030,424.0,917,INLAND,172800.0
9.45,10,2358,554.0,1369,<1H OCEAN,461900.0
1.51,18,3826,726.0,1669,<1H OCEAN,197900.0
9.74,35,1049,248.0,440,INLAND,386000.0
3.4,44,4162,999.0,3091,<1H OCEAN,257300.0
2.39,16,1680,386.0,809,INLAND,131800.0
2.89,50,1100,267.0,693,NEAR BAY,225900.0
3.08,49,1739,333.0,799,NEAR BAY,257700.0
10.46,7,2099,447.0,1060,INLAND,415200.0
4.64,30,3144,702.0,1712,<1H OCEAN,302900.0
1.91,19,3444,763.0,1575,NEAR OCEAN,203800.0
5.93,23,714,171.0,298,NEAR BAY,346100.0
3.1,8,1791,349.0,1344,INLAND,125400.0
0.47,17,283,54.0,114,INLAND,40000.0
5.84,21,3942,779.0,1673,<1H OCEAN,366400.0
5.93,26,2327,564.0,1680,<1H OCEAN,361100.0
3.21,28,1801,442.0,923,INLAND,157300.0
2.62,39,4817,1059.0,3319,<1H OCEAN,243900.0
6.27,33,1422,305.0,651,<1H OCEAN,335000.0
2.53,40,4529,1007.0,2241,NEAR BAY,227300.0
7.08,19,2042,455.0,1284,INLAND,322700.0
2.57,29,2491,478.0,1981,<1H OCEAN,222100.0
3.64,20,1789,407.0,768,NEAR BAY,257300.0
4.92,20,3096,655.0,1734,INLAND,235300.0
4.34,10,4688,1013.0,1955,NEAR BAY,321000.0
2.43,12,208,37.0,99,INLAND,101800.0
4.76,33,4908,1146.0,3744,<1H OCEAN,321900.0
5.77,25,914,217.0,400,INLAND,251100.0
1.98,25,2127,475.0,1579,NEAR BAY,171100.0
5.0,4,309,71.0,145,NEAR BAY,297400.0
3.57,4,465,100.0,346,<1H OCEAN,252700.0
2.07,9,3423,764.0,2105,INLAND,129900.0
4.64,15,1154,239.0,866,<1H OCEAN,262400.0
6.14,26,1549,364.0,713,NEAR BAY,351200.0
2.73,15,1774,377.0,1250,<1H OCEAN,212900.0
4.78,26,2423,551.0,1628,NEAR OCEAN,301700.0
3.09,28,4031,900.0,2487,NEAR OCEAN,260700.0
5.47,7,3455,791.0,2502,INLAND,234600.0
6.79,32,1258,295.0,829,<1H OCEAN,366400.0
4.5,12,2157,465.0,1619,INLAND,178100.0
5.73,35,3347,792.0,1848,<1H OCEAN,313600.0
6.31,32,2719,584.0,1729,NEAR BAY,364500.0
2.71,9,3853,,2882,<1H OCEAN,248500.0
3.05,14,2770,644.0,1346,INLAND,148700.0
4.85,13,3127,600.0,1858,NEAR OCEAN,294000.0
7.64,44,4087,972.0,3205,<1H OCEAN,435000.0
1.75,33,1087,237.0,640,INLAND,103300.0
5.16,32,944,234.0,473,NEAR OCEAN,292500.0
7.29,19,3714,855.0,2007,INLAND,321400.0
3.5,30,3130,,2360,NEAR OCEAN,263900.0
3.86,16,2879,597.0,2251,<1H OCEAN,248200.0
3.81,12,375,81.0,292,ISLAND,236500.0
3.68,10,765,,519,NEAR BAY,239200.0
2.38,2,3417,789.0,2063,INLAND,125500.0
3.59,18,4557,938.0,2155,<1H OCEAN,289100.0
2.43,13,4826,1089.0,2168,NEAR OCEAN,242100.0
5.52,29,1594,351.0,675,NEAR BAY,314500.0
1.2,24,1420,268.0,578,NEAR BAY,165200.0
6.18,38,1147,225.0,861,INLAND,256100.0
6.71,12,784,159.0,567,NEAR OCEAN,340300.0
4.31,29,3062,593.0,1920,<1H OCEAN,288200.0
9.33,22,1820,346.0,1455,INLAND,344200.0
4.96,36,3555,654.0,2777,NEAR BAY,322600.0
4.63,1,2549,614.0,1687,<1H OCEAN,287800.0
1.15,43,3391,678.0,1986,INLAND,147600.0
6.95,40,3407,682.0,1570,<1H OCEAN,398900.0
2.21,34,2776,539.0,1682,INLAND,127300.0
2.04,34,731,155.0,338,<1H OCEAN,166100.0
4.42,48,1431,309.0,800,NEAR OCEAN,272200.0
2.44,33,2193,426.0,1704,INLAND,131300.0
3.47,4,1897,422.0,1018,INLAND,150200.0
7.25,38,3570,823.0,1646,<1H OCEAN,399900.0
8.73,30,1745,359.0,1104,INLAND,347000.0
2.73,46,3365,743.0,2156,NEAR OCEAN,243700.0
3.56,20,1637,352.0,781,NEAR BAY,239600.0
12.02,26,570,110.0,272,<1H OCEAN,500000.0
8.68,15,4704,1087.0,3743,NEAR BAY,439800.0
6.39,7,816,192.0,405,NEAR BAY,311400.0
2.44,7,4366,984.0,3210,INLAND,144000.0
2.76,50,4214,854.0,2478,NEAR OCEAN,265200.0
6.35,29,4379,1072.0,2513,NEAR OCEAN,358800.0
1.02,23,2456,,1272,INLAND,78100.0
7.01,34,4554,904.0,3231,NEAR BAY,400700.0
7.99,20,3510,732.0,2640,INLAND,337200.0
3.25,15,1131,258.0,570,INLAND,158900.0
8.81,33,2529,604.0,1107,<1H OCEAN,459200.0
5.09,17,593,121.0,269,INLAND,210900.0
1.84,20,2665,523.0,1911,<1H OCEAN,214200.0
4.18,13,3477,778.0,1996,<1H OCEAN,277000.0
2.6,44,2129,520.0,963,<1H OCEAN,241900.0
4.5,24,825,159.0,442,<1H OCEAN,263600.0
1.75,47,4857,1147.0,2941,NEAR BAY,232800.0
9.18,37,3079,656.0,2280,NEAR BAY,475300.0
5.47,7,3366,794.0,2210,<1H OCEAN,324500.0
3.04,8,3622,780.0,1703,INLAND,147100.0
4.57,23,2309,476.0,1070,NEAR BAY,264500.0
3.9,14,1365,312.0,771,NEAR OCEAN,260500.0
9.36,4,2981,724.0,1282,<1H OCEAN,450300.0
3.85,21,2091,423.0,1468,INLAND,178100.0
4.41,46,3382,717.0,1895,<1H OCEAN,328700.0
1.58,10,1839,360.0,987,INLAND,79500.0
4.47,22,981,189.0,592,NEAR OCEAN,283400.0
4.98,30,4892,1146.0,3344,NEAR BAY,322200.0
2.03,30,2256,437.0,1416,<1H OCEAN,201000.0
5.9,16,2523,594.0,1818,<1H OCEAN,318400.0
0.94,11,2474,519.0,1612,INLAND,67000.0
3.55,22,2433,607.0,1740,<1H OCEAN,260800.0
1.53,29,2838,550.0,1926,NEAR OCEAN,210800.0
4.08,25,3487,650.0,1664,<1H OCEAN,291500.0
3.13,14,2680,496.0,1128,INLAND,162900.0
5.18,14,2816,671.0,2143,<1H OCEAN,349700.0
3.82,2,555,116.0,431,NEAR OCEAN,243700.0
5.1,13,4687,844.0,3237,INLAND,232900.0
4.14,3,4874,1175.0,3361,<1H OCEAN,264900.0
7.2,30,3546,855.0,1801,INLAND,323100.0
6.63,18,3722,880.0,2296,NEAR BAY,352200.0
2.52,36,2667,526.0,2125,NEAR BAY,212800.0
6.9,21,363,74.0,269,NEAR OCEAN,355200.0
4.96,19,3834,890.0,2000,<1H OCEAN,332000.0
7.58,16,4933,1056.0,2567,NEAR BAY,413300.0
2.08,28,3863,736.0,2292,NEAR OCEAN,202300.0
1.75,4,3454,680.0,1940,INLAND,110600.0
1.77,51,3581,888.0,1964,<1H OCEAN,214200.0
8.79,15,2264,431.0,1473,NEAR BAY,434600.0
7.66,1,4465,1030.0,1806,NEAR OCEAN,390200.0
6.63,48,4184,893.0,2951,<1H OCEAN,380300.0
1.62,47,4087,949.0,2844,<1H OCEAN,231400.0
6.67,16,539,,394,NEAR BAY,353300.0
1.69,20,3981,838.0,2932,INLAND,141400.0
0.48,33,3790,776.0,2374,INLAND,58400.0
3.09,17,2133,496.0,1518,NEAR OCEAN,219700.0
3.6,5,1845,373.0,1101,NEAR BAY,256800.0
8.2,5,4428,1041.0,3456,<1H OCEAN,437700.0
2.06,39,2887,657.0,1375,NEAR BAY,221600.0
12.53,13,2326,512.0,1782,NEAR BAY,500000.0
4.48,44,4641,955.0,2336,INLAND,230900.0
3.74,36,4904,953.0,2163,<1H OCEAN,293400.0
3.73,30,838,192.0,482,<1H OCEAN,242200.0
1.74,4,1424,265.0,919,NEAR OCEAN,180100.0
3.26,23,3905,968.0,1922,NEAR OCEAN,260200.0
4.68,21,4110,1021.0,2557,NEAR BAY,295800.0
6.75,21,4445,840.0,3214,<1H OCEAN,395700.0
3.18,6,1749,,879,INLAND,165600.0
4.45,24,4345,907.0,2746,NEAR OCEAN,326000.0
6.18,47,1705,421.0,913,NEAR BAY,362000.0
3.12,31,4630,963.0,2833,<1H OCEAN,276300.0
7.0,19,1575,323.0,1050,NEAR BAY,347800.0
5.5,38,867,198.0,468,INLAND,225100.0
6.38,12,2574,495.0,2053,NEAR BAY,347500.0
1.09,14,4290,881.0,2683,NEAR BAY,191900.0
3.35,50,1215,243.0,886,INLAND,160400.0
2.67,12,535,118.0,369,<1H OCEAN,195200.0
0.91,15,4961,949.0,3676,<1H OCEAN,192400.0
10.12,19,280,61.0,131,INLAND,383600.0
6.66,28,2334,560.0,1141,NEAR BAY,370400.0
1.39,40,1999,431.0,1189,INLAND,92000.0
8.36,41,457,104.0,338,NEAR OCEAN,407900.0
3.89,5,384,71.0,183,NEAR BAY,230400.0
5.21,5,322,68.0,253,INLAND,203100.0
2.72,6,4900,914.0,2210,NEAR BAY,235700.0
6.97,23,3714,824.0,1745,INLAND,299100.0
3.8,3,1594,318.0,744,NEAR BAY,247300.0
5.37,37,2552,510.0,1618,NEAR BAY,358400.0
7.39,33,3419,633.0,2622,NEAR BAY,413100.0
5.79,43,1508,304.0,757,INLAND,227500.0
3.13,21,4144,892.0,2574,INLAND,181800.0
3.82,20,2141,473.0,1006,<1H OCEAN,252400.0
6.5,1,690,127.0,450,NEAR BAY,315800.0
0.33,39,1254,282.0,563,NEAR BAY,149100.0
3.39,47,901,193.0,537,NEAR BAY,247300.0
4.02,17,3134,681.0,2074,NEAR OCEAN,312800.0
4.79,29,4895,1166.0,3091,<1H OCEAN,324400.0
2.72,8,1334,272.0,608,<1H OCEAN,204100.0
3.77,26,279,53.0,129,INLAND,180700.0
4.46,28,1035,226.0,691,INLAND,195800.0
4.41,34,851,209.0,615,NEAR BAY,259000.0
4.32,26,616,133.0,470,INLAND,172100.0
3.19,13,3880,924.0,2814,<1H OCEAN,247000.0
4.58,44,4066,947.0,3210,NEAR OCEAN,327800.0
8.09,37,945,204.0,532,NEAR OCEAN,425200.0
3.81,13,2202,496.0,1172,INLAND,188900.0
4.55,38,439,91.0,180,INLAND,206200.0
3.77,25,3093,671.0,1793,NEAR BAY,286800.0
7.86,47,2144,462.0,1416,INLAND,344400.0
3.4,23,1055,242.0,766,NEAR OCEAN,222500.0
2.24,22,3715,775.0,1883,NEAR BAY,218200.0
5.91,21,2846,532.0,1723,NEAR OCEAN,333100.0
3.3,30,3394,798.0,2256,INLAND,198400.0
5.72,11,4715,1074.0,2926,INLAND,253500.0
2.98,4,2798,689.0,1425,NEAR BAY,215300.0
1.92,33,1553,326.0,1115,<1H OCEAN,196800.0
3.88,47,2235,414.0,1048,INLAND,225600.0
1.5,12,3080,580.0,2346,INLAND,115300.0
4.73,9,879,205.0,686,INLAND,209500.0
6.33,32,686,126.0,374,NEAR BAY,322800.0
10.55,11,3820,930.0,2102,INLAND,438000.0
2.9,37,3850,768.0,2684,INLAND,156800.0
2.49,24,4918,1194.0,2864,<1H OCEAN,254300.0
6.24,7,1638,383.0,673,<1H OCEAN,309700.0
6.0,8,4514,1087.0,3466,INLAND,269100.0
6.22,33,1684,328.0,963,<1H OCEAN,315200.0
10.64,25,890,197.0,428,INLAND,395500.0
4.03,1,1212,226.0,754,<1H OCEAN,227300.0
11.84,3,4742,920.0,2312,NEAR BAY,500000.0
3.23,40,2547,513.0,1228,NEAR BAY,254900.0
2.62,28,3908,906.0,2416,INLAND,152800.0
2.47,43,4670,848.0,2598,<1H OCEAN,251400.0
2.37,33,2122,516.0,1335,NEAR BAY,203200.0
10.93,46,837,154.0,668,NEAR BAY,500000.0
7.63,1,3208,661.0,2385,INLAND,313500.0
10.38,38,2433,451.0,980,NEAR BAY,500000.0
1.04,27,2325,543.0,977,<1H OCEAN,192700.0
1.68,38,3657,694.0,2355,<1H OCEAN,223500.0
3.31,35,4489,1086.0,2920,NEAR OCEAN,277600.0
3.0,10,3374,732.0,2534,NEAR BAY,245000.0
4.56,12,3888,957.0,2533,INLAND,238100.0
4.09,10,1599,320.0,785,<1H OCEAN,263500.0
2.03,34,2534,536.0,1488,<1H OCEAN,213600.0
2.8,24,1705,389.0,1233,INLAND,133400.0
3.42,28,449,106.0,345,<1H OCEAN,222900.0
1.82,22,735,153.0,363,<1H OCEAN,175400.0
3.7,45,3732,904.0,2298,NEAR BAY,245100.0
1.91,16,3749,705.0,1737,<1H OCEAN,206900.0
3.64,13,657,150.0,393,INLAND,151800.0
2.23,36,2938,600.0,1281,NEAR OCEAN,233600.0
6.66,36,3569,667.0,2772,INLAND,320200.0
